Date,Strategy,S&P 500,Nasdaq 100
2023-12-08,109684.27738865341,95992.76149415103,97501.69828715609
2023-12-11,111744.73882237871,96369.4890307032,98429.08438061041
2023-12-12,111713.86703109424,96812.72242456589,99295.2108302198
2023-12-13,114299.4056692936,98134.29179601258,100323.88762191273
2023-12-14,117205.12961512899,98394.06075591517,100251.71041777865
2023-12-15,116824.71358409632,98386.55539270771,100710.85448105197
2023-12-18,117041.7581520015,98832.49905661754,101370.15381629384
2023-12-19,117835.60699439682,99411.87139977109,101968.19350769081
2023-12-20,115551.1117342604,97952.07825592038,100562.25435489349
2023-12-21,116811.52912556993,98961.54960732357,101590.32461545928
2023-12-22,116556.69044180869,99125.83366864239,101703.74593624142
2023-12-26,117796.8199471428,99544.88311439216,102430.37022660005
2023-12-27,117650.55436403217,99687.6934976452,102682.68717550584
2023-12-28,117424.20898658858,99724.59486674854,102514.67805327768
2023-12-29,116757.96604331756,99442.30981722356,102030.66621379009
2024-01-02,115533.94102764614,98879.40757666416,100406.98238633605
2024-01-03,115039.44515611611,98087.17479365463,99277.62142753166
2024-01-04,114697.35864202527,97750.89282549822,98786.9377456451
2024-01-05,115168.60433172177,97928.93671936405,98907.63743995341
2024-01-08,116573.97150363633,99311.591408027,100872.19176088116
2024-01-09,116161.31460823689,99164.81986085892,101123.29564753264
2024-01-10,115791.79045169665,99726.67968986172,101925.73632878839
2024-01-11,115958.42091509412,99659.3399033059,101983.96331699741
2024-01-12,115442.14656745446,99734.60201769182,101950.60410500265
2024-01-16,114525.52053843821,99362.46109198865,102151.3659080984
2024-01-17,112982.94684378331,98804.35394458959,101458.70736086175
2024-01-18,113370.06699057222,99674.35062972082,103031.44257363288
2024-01-19,114003.09518940598,100901.68599645163,105152.48192537241
2024-01-22,113945.51162017042,101123.09421107166,105107.59862196127
2024-01-23,114461.03416799521,101418.51364620969,105694.72075306902
2024-01-24,113456.41473967094,101500.44719455777,106161.74972099566
2024-01-25,113863.02354277193,102034.78735846658,105957.3487311369
2024-01-26,114580.5003193704,101967.86453653341,105476.36954728514
2024-01-29,116880.38714297804,102738.83212378845,106694.89058178465
2024-01-30,115455.98436933928,102676.70439501562,105325.94982774515
2024-01-31,113602.96569918151,101023.43966626153,104089.83939055752
2024-02-01,115210.76676202496,102285.17461435986,106350.98743267504
2024-02-02,115455.47014626225,103378.45585491299,106773.13309719054
2024-02-05,114889.21674442549,103049.05380303008,106814.98374496578
2024-02-06,115398.48862150898,103287.14060255558,106512.32471250425
2024-02-07,117114.49088126127,104137.95691504555,107767.23761463439
2024-02-08,121449.73742003813,104197.7913383939,107843.05400553157
2024-02-09,122479.27155081586,104796.13557187741,108898.41816682031
2024-02-12,126821.53912227161,104696.27254475595,108274.29763695473
2024-02-13,121097.08799575895,103264.62451293321,106902.93075840651
2024-02-14,123229.7608531219,104254.29004476116,107957.0818574409
2024-02-15,124178.87160728764,104860.76508838609,108518.12315008005
2024-02-16,122817.02584781317,104357.07182424108,107246.22737638895
2024-02-20,121112.09079271558,103730.79096104093,106363.72458634578
2024-02-21,119560.65026187382,103861.92633486014,106004.05162792954
2024-02-22,122394.01529523262,106055.36873223993,109190.76617011985
2024-02-23,122255.08688045987,106092.27010134325,108932.99044106943
2024-02-26,123521.1065507404,105690.94165205555,108784.99684603814
2024-02-27,123202.31602565618,105870.86188672323,109013.65908098404
2024-02-28,121867.91839071459,105695.73674521587,108418.04551409578
2024-02-29,123801.08851396818,106248.42335252065,109576.5199670047
2024-03-01,124327.83056660765,107098.822700388,110986.0983065651
2024-03-04,123401.47503013209,106971.02304354987,110566.37876655828
2024-03-05,121935.5814992804,105880.66055535519,108579.38279392499
2024-03-06,123283.34874037298,106425.4248348299,109296.30258624874
2024-03-07,125715.54161915563,107521.6248277415,110984.88524431073
2024-03-08,124290.80335524856,106819.66488553281,109469.77048862148
2024-03-11,124529.38523786524,106699.78755652478,109064.00116453976
2024-03-12,125746.47300162293,107895.4336119352,110464.48153719248
2024-03-13,126130.48354064819,107687.36826523955,109754.2335872677
2024-03-14,124309.92709091664,107378.18899755452,109258.09112523652
2024-03-15,123233.95565558784,106682.48352468536,108038.96355960987
2024-03-18,124006.91009137011,107356.50683717741,109063.3946334126
2024-03-19,123735.65501140512,107962.98188080233,109335.12057838807
2024-03-20,125448.66303285147,108924.293818291,110919.98641370273
2024-03-21,125349.62081225713,109276.83740673024,111226.89116405453
2024-03-22,124647.91591075191,109123.18594328864,111155.32049104762
2024-03-25,124904.95238434996,108789.8227274907,110966.08277936824
2024-03-26,124369.61899606878,108485.23007065465,110687.68499199377
2024-03-27,125669.28448431681,109421.52413078512,110897.54476199718
2024-03-28,125038.96144890694,109543.69476521766,110642.19515745548
2024-04-01,124859.4324425628,109323.53744446552,110912.70804017663
2024-04-02,123558.91412552525,108531.72162607865,110007.1570673007
2024-04-03,124291.05089105328,108650.13957890743,110271.60463875005
2024-04-04,122748.84780286788,107310.01528175341,108452.6177883449
2024-04-05,124312.97662638944,108501.4916909375,109827.01732252899
2024-04-08,125242.16711981989,108460.42067560779,109876.75287495753
2024-04-09,125590.95083719968,108617.61633834177,110314.66834877965
2024-04-10,124513.27453304699,107590.42399047654,109194.4053568829
2024-04-11,126773.68191168655,108390.9960659388,111029.16201659468
2024-04-12,123734.94996234389,106813.82738081588,109171.96370517735
2024-04-15,122241.07560270521,105529.78482540652,107434.25202581396
2024-04-16,122480.15207497898,105312.75473932413,107527.65781939928
2024-04-17,122463.98515553193,104704.40335489737,106172.66728128487
2024-04-18,122344.16118290795,104472.77950702271,105409.04459216847
2024-04-19,121105.54202725417,103558.16760726937,103288.61177155613
2024-04-22,121512.12981712983,104461.93842683418,104333.66490368286
2024-04-23,123643.0726739123,105712.20684781003,106255.76204570816
2024-04-24,125076.00655614753,105734.30597280974,105325.34329661798
2024-04-25,125507.5313014912,105250.41852823997,107241.98165849871
2024-04-26,126500.28534560044,106324.93636077447,107415.44956087145
